URL,No,F_One,s_One,primaryID
https://cbtestw.kinsta.cloud/news/ripple-xrp-exploding/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/ethereum-classic-etc/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/dogecoin-friendliest-cryptocurrency/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/traditional-institutions-cryptocurrency/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/intel-cpu-vulnerability-crypto-community-worried/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/electroneum-overview-mobile-cryptocurrency/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/kin-token-prices-reach-dizzying-heights-bull-run/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/neo-is-much-more-than-chinese-ethereum/,3,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/brazil-using-ethereum-blockchain-popular-petitions/,2,Adoption,Blockchain,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/virtual-currency-girls-japan-promoting-cryptocurrencies/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/oyster-pearl-prl-interesting/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/bitfury-unveils-technology-track-bitcoin-transactions/,2,Blockchain,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/etf-proposals-withdrawn-blow-bitcoin/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/ether-competitor-dragonchain-unique-hybrid-blockchain-tech/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/particl-part-new-privacy/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/mike-novogratz-launch-crypto-merchant-bank/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/telegram-token-incoming-leaked-white-paper/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/ripple-partners-moneygram-xrp/,2,Blockchain,News,"4,11,News"
https://cbtestw.kinsta.cloud/ico/early-look-examining-coinfirms-ongoing-amlt-ico/,2,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/coinbase-spamming-bitcoin-memepool-segwit/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/2018-hard-forks-ever/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/ico/review-apex-cpx-ico-everything-need-know/,2,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/bitcoin-mining-canada/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/man-wants-cryptocurrency-upwork/,2,Analysis,ICO,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/inside-tron-drama/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/could-monero-ever-challenge-bitcoin-the-case-for-privacy-coins/,2,Adoption,Analysis,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/virtues-hodl-market-crash/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/alibaba-launching-cryptocurrency-mining-giant/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/analysis/bitmain-releases-a3/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/raiblocks-xrb-2018/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/lightning-network-change-everything-bitcoin/,2,Blockchain,Education,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/news/bitconnectx-attempt-scam-investors/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/canadian-government-uses-ethereum-blockchain-transparency/,2,Blockchain,News,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/ico/rentberry-ethereum-solution-apartment-rentals/,2,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/etherzero-ethereum-fork/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/bancor-bnt-update/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/benebit-biggest-ico-exit-scam-history-nets-4-million/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/cryptocelebrities-ethereum-game/,2,News,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/ico/beluga-pay-cryptocurrency-payment-network-ico/,2,ICO,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/ico/earn-interest-on-cryptocurrency-celsius-network/,2,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/tether-bitfinex-drama-continues/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/ontology-network-free-ico-didnt-know/,2,Analysis,ICO,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/robinhood-fee-less-crypto/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/ico/metronome-innovative-cryptocurrency-questionable-founders/,2,ICO,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/simple-guide-ethereum-classic-vs-ethereum-whats-difference/,2,Education,Smart Contracts,"24,5,Education"
https://cbtestw.kinsta.cloud/news/ponzicoin-crypto-crazy/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/experty-ico-hacked-phishing-attack-steals-150000/,2,ICO,News,"4,11,News"
https://cbtestw.kinsta.cloud/review/bytecoin-rise-exclusive-interview/,2,Interview,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/bitgrail-withdrawal-saga-accusations-fly-exchange-institutes-kyc/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/pivx-everything-need-know-privacy-coin/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/bitcoin-interest-hard-fork/,2,News,Review,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/qtum-viable-competitor-ethereum-clones/,3,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/ico/ted-oneil-narrative-exclusive-interview-with-ceo-founder/,2,ICO,Interview,"258,8,Ico"
https://cbtestw.kinsta.cloud/smart-contracts/bethereum-review-social-betting/,3,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/litecoin-get-payment-processor-february-litepay/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/large-chinese-payment-network-partners-ripple-come/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/dark-web-litecoin-gaining-ground-bitcoin-payments/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/litecoin-cash-the-upcoming-litecoin-fork/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/e-coin-pump-dump-scam-coin-misunderstood-gem/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/ebay-signs-bitpay-partner-adyen-bitcoin-payments-coming-soon/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/cryptodogs-next-blockchain-pet-project-dying-attention/,2,News,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/ico/coinvest-review-everything-need-know/,2,ICO,Review,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/monero-forks-airdrops-compromise-user-privacy/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/education/decred-explained-everything-you-need-to-know-about-the-project/,2,Education,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/schnorr-signatures-making-bitcoin-efficient/,2,Analysis,Education,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/bitgrail-nano-saga-twisted-tale-hacks-threats-lawsuit/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/cryptocurrency-dark-pool-trading-mass-liquidity-hidden-from-sight/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/liberland-bitcoin-friendly-micronation/,2,Adoption,Blockchain,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/google-search-data-shows-cryptocurrency-interest-falling/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/review/digibyte-exclusive-interview-ambassador/,2,Interview,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/scammers-continue-target-telegram-potentially-scoring-millions/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/education/what-is-byteball-cryptocurrency-with-no-blockchain/,2,Education,Review,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/neogas-what-need-to-know-earn-returns-holding-neo/,2,Analysis,Education,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/btc-global-another-cautionary-tale-typical-ponzi-scheme/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/introduction-0x-decentralized-exchange-platform-erc20-tokens/,2,Education,Review,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/zero-knowledge-proofs-zksnarks/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/education/proof-of-capacity-explained/,2,Blockchain,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/news/current-state-of-gpu-mining-and-what-to-expect/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/why-google-cryptocurrency-ico-ban-is-good/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/top-five-things-bitcoin-opponents-just-dont-get/,2,Adoption,Analysis,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/komodo-platform/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/beginners-guide-vyper-language/,2,Education,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/analysis/five-top-tips-avoid-ico-exit-scams/,2,Analysis,ICO,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/complete-guide-using-steemit-platform-earn-steem/,2,Education,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/prospects-of-gold-backed-cryptocurrency/,2,Analysis,Guest Post,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/trinity-protocol-off-chain-scaling-solution-neo/,2,Analysis,Smart Contracts,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/augur-rep-prediction-markets-on-blockchain/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/proof-of-burn-explained/,2,Blockchain,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/ico/blue-whale-foundation-our-interview-with-first-icon-ico/,3,ICO,Interview,"422,13,Review"
https://cbtestw.kinsta.cloud/news/guide-ponzischeme-io-quickest-way-lose-money/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/education/buying-bitcoin-anonymously-complete-beginners-guide/,2,Education,Services,"37,14,Services"
https://cbtestw.kinsta.cloud/analysis/daostack-scaling-governance/,2,Analysis,Blockchain,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/analysis/could-hashgraph-technology-make-blockchains-obsolete/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/proof-of-activity-explained-hybrid-consensus-algorithm/,2,Blockchain,Education,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/services/buying-monero-with-localmonero-step-by-step-guide/,2,Review,Services,"37,14,Services"
https://cbtestw.kinsta.cloud/smart-contracts/loom-network/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/news/monero-hard-forks-successfully-four-new-projects/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/floyd-mayweather-dj-khaled-risk-centra/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/skycoin/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/blockchain/big-players-blockchain-13-examples/,2,Adoption,Blockchain,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/news/verge-pornhub-partnership-implications/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/analysis/bitcoin-private-btcp/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/news/mew-hack-decentralized-dns-servers/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/6-market-factors-find-best-coins/,2,Analysis,Services,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/civic-cvc/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/puerto-rico-ideal-home-crypto/,2,Adoption,Analysis,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/metamask-beginners-guide/,2,Education,Services,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/icos-from-2017-failing-heres-why/,2,Analysis,ICO,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/nxt-coin/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/zencash-zen/,2,Education,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/battle-against-asics-antminer-z9-zcash/,2,Analysis,Mining,"1091,10,Mining"
https://cbtestw.kinsta.cloud/services/local-bitcoin-cash/,2,Review,Services,"37,14,Services"
https://cbtestw.kinsta.cloud/analysis/zcash-ceremony/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/blockchain/zilliqa-zil/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/solving-blockchain-trilemma/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/crypto-black-swan-ethereum-classified-as-security/,2,Analysis,Guest Post,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/legalized-sports-betting-blockchain/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/smart-contracts/aeternity-ae/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/blockchain/po-et-poe/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/blockchain/sentinel-protocol/,2,Blockchain,ICO,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/blockchain/elixir-elix/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/tax-home-crypto-mining/,2,Education,Mining,"1091,10,Mining"
https://cbtestw.kinsta.cloud/analysis/marshall-islands-tokenizing/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/blockchain/electrify-asia-elec/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/smart-contracts/enjin-coin-enj/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/services/bitquick/,2,Review,Services,"422,13,Review"
https://cbtestw.kinsta.cloud/news/microsoft-github-crypto/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/cryptocurrency-lawyers/,2,Analysis,Blockchain,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/blockchain/populous-ppt/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/smart-contracts/elastos-ela/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/adoption/still-early-adoption-phase/,2,Adoption,Guest Post,"233,1,Adoption"
https://cbtestw.kinsta.cloud/blockchain/ark-coin/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/exchange-hacks-benefits-crypto/,2,Analysis,Guest Post,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/ico-bounty-programs/,2,Education,ICO,"24,5,Education"
https://cbtestw.kinsta.cloud/smart-contracts/tezos-xtz/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/services/myetherwallet-vs-mycrypto/,2,Review,Services,"422,13,Review"
https://cbtestw.kinsta.cloud/services/dropil-drop/,2,Review,Services,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/best-zcash-pools/,2,Analysis,Mining,"1091,10,Mining"
https://cbtestw.kinsta.cloud/adoption/pundi-x/,2,Adoption,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/smart-contracts/gochain-go/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/bitcoin-maximalism/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/ico/meca-coin/,2,ICO,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/kovri/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/effects-bitcoin-etfs/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/education/eth-domain-name/,2,Education,Smart Contracts,"24,5,Education"
https://cbtestw.kinsta.cloud/interview/hyperspace/,2,Interview,Mining,"788,9,Interview"
https://cbtestw.kinsta.cloud/blockchain/products-you-can-use-today/,2,Blockchain,Guest Post,"198,3,Blockchain"
https://cbtestw.kinsta.cloud/education/delegated-proof-stake-dpos/,2,Blockchain,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/cryptocurrency-options/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/news/eur-btc-price/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/best-dash-wallets/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/turtlecoin-trtl/,2,Education,Review,"24,5,Education"
https://cbtestw.kinsta.cloud/blockchain/ardor-ardr/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/blockchain/storj/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/golem-gnt/,2,Education,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/smart-contracts/funfair-fun/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/cryptocurrency-arbitrage/,2,Analysis,Education,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/what-is-bakkt/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/smart-contracts/agrello-dlt/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/best-zcash-wallets/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/smart-contracts/loopring-lrc/,2,Review,Smart Contracts,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/horizen-rebrand-zen/,2,Analysis,Interview,"788,9,Interview"
https://cbtestw.kinsta.cloud/blockchain/nuls-coin/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/analysis/best-eos-wallets/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/zcash-sapling-upgrade/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/paxos-standard-pax/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/education/neo-name-service-nns/,2,Education,Smart Contracts,"24,5,Education"
https://cbtestw.kinsta.cloud/analysis/crypto-trading-algorithms/,2,Analysis,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/blockchain/bluzelle-blz/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/adoption/applications-zero-knowledge-proofs/,2,Adoption,Guest Post,"233,1,Adoption"
